block_number,gas_used
22214524,12381145
22136940,18226706
22184706,14327601
22183386,16192408
22197230,6196695
22202143,17586646
22212342,12492855
22199567,33107315
22127627,25372771
22183492,17340500
22164477,15131483
22120304,7224442
22130725,12595848
22165091,35886773
22203276,23116101
22155530,16499281
22152562,15159561
22124121,15810607
22215817,14393191
22123722,19473031
22202745,21462139
22175212,16126792
22197268,35987391
22136392,4051520
22125932,9434041
22162997,34185745
22148917,15291384
22156478,10339559
22194020,15571626
22130456,6731701
22146829,14764109
22154754,16350462
22130353,16198213
22214469,15798214
22216666,17791442
22134906,16764328
22125117,19173637
22158078,32904257
22202720,21620796
22212871,15688936
22200578,8573642
22158229,8849732
22193286,8565040
22193387,35884302
22205371,18823697
22184569,15893746
22204237,26661860
22177602,31664323
22121853,17699971
22122029,15615075
22185372,15501739
22193110,17000757
22207738,14207692
22119185,14527602
22122629,10201118
22203071,24256037
22155762,3764527
22183694,35848707
22146926,24066279
22214806,12463703
22151779,8590777
22171456,30934578
22198344,28743872
22158017,30549293
22153254,4499519
22174795,17072060
22120694,6907136
22140090,16433833
22157538,24892605
22170269,15024645
22147423,11157059
22147628,10725528
22204944,17346957
22144972,20916623
22177656,18424624
22164725,15375434
22181689,35952271
22204565,13517631
22132366,15526821
22207047,14068673
22162329,19972981
22140699,13319351
22174532,6141709
22190646,13353311
22212688,20279199
22136554,16485362
22184392,19786536
22211424,21322611
22173227,3253828
22133450,16214594
22148499,32437742
22170555,18835254
22156094,16973093
22190061,22205456
22211235,26755454
22204883,10529574
22157807,33390996
22191240,35978964
22202544,14310014
22177996,35878239
22210260,35344854
22118917,35825276
22183859,17906136
22211225,14615548
22131289,15958913
22184651,12409811
22216161,13230746
22165184,13593850
22199043,35997724
22134595,7406944
22146645,29617078
22131646,31212204
22201047,19525776
22154196,12247966
22217683,19182379
22150742,35999171
22186345,6137280
22169380,22775201
22168714,35979432
22171389,7613565
22128538,35462181
22155295,8668360
22184900,12014614
22186245,15618986
22214666,23619911
22131827,9178153
22121926,27292953
